Feature,Importance
cat__int_col_Medium Earth Gray,7.166330018936329e-07
cat__int_col_Aragon Brown,6.994458626708477e-07
cat__int_col_Amber,6.887108428840753e-07
cat__ext_col_Oryx White Prl,6.838403997205418e-07
cat__int_col_Adrenaline Red,6.805296056123144e-07
cat__ext_col_Phytonic Blue Metallic,6.556217056058037e-07
cat__int_col_Ebony Black,6.151679820698659e-07
cat__ext_col_Stone Gray Metallic,6.131952944319005e-07
cat__int_col_Boulder,6.127996158700018e-07
cat__ext_col_Mosaic Black Metallic,6.035739739493374e-07
cat__ext_col_Matador Red Mica,5.956753007482049e-07
cat__ext_col_Burnished Bronze Metallic,5.902620692360677e-07
cat__ext_col_Machine Gray Metallic,5.832167897980894e-07
cat__ext_col_Iconic Silver Metallic,5.784942518947726e-07
cat__int_col_Mistral Gray / Raven,5.744884448456858e-07
cat__ext_col_White Clearcoat,5.733978377904454e-07
cat__ext_col_Glacier White Metallic,5.615802636969221e-07
cat__int_col_Classic Red,5.587780460895583e-07
cat__ext_col_Graphite Grey Metallic,5.560347297116828e-07
cat__int_col_Light Slate,5.529346722202509e-07
cat__int_col_Tan/Ebony/Ebony,5.491131138686118e-07
cat__int_col_Medium Ash Gray,5.195217581489027e-07
cat__int_col_Roast,4.966216314853795e-07
cat__ext_col_Graphite Grey,4.921632930263687e-07
cat__ext_col_Sonic Silver Metallic,4.82755432855635e-07
cat__ext_col_Twilight Black,4.7611711976273415e-07
cat__ext_col_Navarra Blue Metallic,4.6355465355826786e-07
cat__ext_col_Rift Metallic,4.5832980732432245e-07
cat__ext_col_Dark Graphite Metallic,4.469695851711906e-07
cat__ext_col_Silver Flare Metallic,4.3964045297823807e-07
cat__int_col_WHITE,4.136162828789015e-07
cat__int_col_Silk Beige/Black,4.1134027950852315e-07
cat__ext_col_Navarra Blue,4.0955052563001973e-07
cat__ext_col_Black Obsidian,4.069125099816138e-07
cat__ext_col_Red Obsession,4.0227747691341156e-07
cat__int_col_Dark Galvanized,4.018740238888625e-07
cat__ext_col_Magnetic Gray Clearcoat,3.932766232564116e-07
cat__ext_col_Hydro Blue Pearlcoat,3.855387849252188e-07
cat__ext_col_Lunare White Metallic,3.624857131308532e-07
cat__ext_col_Metallic,3.6183739968326495e-07
cat__int_col_Deep Garnet,3.615243836179287e-07
cat__ext_col_Alta White,3.581725790715162e-07
cat__int_col_Ice,3.47042861406029e-07
cat__int_col_Pearl Beige,3.248083732479684e-07
cat__int_col_Cocoa / Dune,3.153735087464088e-07
cat__ext_col_Shadow Black,3.1330086213552684e-07
cat__int_col_Very Light Cashmere,3.033756298697777e-07
cat__ext_col_Tungsten Metallic,2.9578616531647966e-07
cat__ext_col_Florett Silver,2.8741358728439956e-07
cat__ext_col_Cayenne Red Tintcoat,2.8645210610861275e-07
cat__ext_col_Portofino Blue Metallic,2.660487343926462e-07
cat__int_col_Saiga Beige,2.583443054927317e-07
cat__int_col_Ebony/Light Oyster Stitch,2.5693552923915346e-07
cat__ext_col_Crystal Black,2.535154542309851e-07
cat__ext_col_Barcelona Red,2.5106174517593817e-07
cat__ext_col_Rosso,2.2772463650585952e-07
cat__int_col_Chateau,2.082890330843673e-07
cat__int_col_Tension,2.0816357142036034e-07
cat__int_col_Deep Chestnut,2.0699115115365998e-07
cat__ext_col_Silician Yellow,2.0187174610941048e-07
cat__ext_col_Kodiak Brown Metallic,1.9456787936347974e-07
cat__int_col_Sport,1.9261160205307394e-07
cat__int_col_Almond Beige,1.7613450197550145e-07
cat__int_col_Rock Gray,1.3959737497832889e-07
cat__int_col_Carbon Black,1.2620521092397862e-07
cat__ext_col_Lunar Blue Metallic,1.2180174803720267e-07
cat__ext_col_Quartz White,1.2007032671222748e-07
cat__int_col_Ebony / Pimento,1.0506153784233526e-07
cat__ext_col_Nero Noctis,8.358562114261652e-08
cat__ext_col_Wind Chill Pearl,8.321780684550936e-08
cat__int_col_Bianco Polar,8.042550852239519e-08
cat__int_col_Cappuccino,7.508506062105563e-08
cat__ext_col_Star White,7.217964988470913e-08
cat__ext_col_Ruby Red Metallic Tinted Clearcoat,6.699099354754598e-08
cat__int_col_ORANGE,6.600872793244663e-08
cat__int_col_Pimento / Ebony,6.501147547078887e-08
cat__ext_col_Vik Black,5.938528935365451e-08
cat__int_col_Obsidian Black,5.650443185552078e-08
cat__ext_col_Pacific Blue,5.613520331011677e-08
cat__ext_col_Red Quartz Tintcoat,5.3800486202892966e-08
cat__ext_col_Arctic White,5.1751738280959454e-08
cat__ext_col_Vega Blue,4.977453247680254e-08
cat__ext_col_Dazzling White,4.919705569120825e-08
cat__int_col_Mountain Brown,4.58630859982251e-08
cat__int_col_Ebony.,4.370909988046331e-08
cat__int_col_Whisper Beige,4.3460896423893107e-08
cat__ext_col_Jupiter Red,3.5796789172699505e-08
cat__ext_col_Ironman Silver,3.327187186909179e-08
cat__ext_col_Eiger Grey Metallic,3.1607629595975504e-08
cat__ext_col_Chronos Gray,3.0712826418118355e-08
cat__ext_col_Super White,2.4179893878628187e-08
cat__ext_col_Arancio Borealis,2.4168874469314168e-08
cat__int_col_Sand Beige,2.1008666034209675e-08
cat__ext_col_Dark Moon Blue Metallic,6.13847036048015e-09
cat__ext_col_Carpathian Grey Premium Metallic,2.9969975446752592e-09
cat__ext_col_Onyx,2.7499501492751268e-09
cat__brand_Maybach,7.611875890890038e-10
cat__ext_col_Bianco Icarus Metallic,0.0
